Date,Rocket Name,Price,Payload to LEO,Payload to GTO,Location,Outcome
2018-04-14T23:13:00Z,Atlas V 551,"$153,000,000",18.85,8.89,"Cape Canaveral SFS, FL, USA",Launch Successful
2018-04-18T22:12:00Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2018-04-18T22:51:31Z,Falcon 9 Block 4,"$50,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
2018-04-25T17:57:52Z,Rokot/Briz-KM,N/A,1.85,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2018-04-26T04:42:00Z,Long March 11,N/A,0.50,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2018-04-29T17:07:00Z,New Shepard,N/A,N/A,N/A,"Corn Ranch, Van Horn, TX, USA",Launch Successful
2018-05-03T16:06:05Z,Long March 3B/E,"$70,000,000",12.00,5.50,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2018-05-05T11:05:01Z,Atlas V 401,"$115,000,000",9.05,4.95,"Vandenberg SFB, CA, USA",Launch Successful
2018-05-08T18:28:40Z,Long March 4C,N/A,N/A,N/A,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2018-05-11T20:14:00Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Kennedy Space Center, FL, USA",Launch Successful
2018-05-20T21:28:49Z,Long March 4C,N/A,N/A,N/A,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2018-05-21T08:44:06Z,Antares 230,N/A,7.80,N/A,"Wallops Flight Facility, Virginia, USA",Launch Successful
2018-05-22T19:47:58Z,Falcon 9 Block 4,"$50,000,000",22.80,8.30,"Vandenberg SFB, CA, USA",Launch Successful
2018-05-29T12:00:00Z,SpaceShipTwo,N/A,N/A,N/A,Air launch to Suborbital flight,Launch Successful
2018-06-02T04:13:04Z,Long March 2D,"$30,000,000",3.50,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2018-06-04T04:45:00Z,Falcon 9 Block 4,"$50,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
2018-06-05T13:07:04Z,Long March 3A,N/A,N/A,2.30,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2018-06-06T11:12:41Z,Soyuz FG,N/A,6.45,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2018-06-12T04:20:00Z,H-IIA 202,"$90,000,000",10.00,4.10,"Tanegashima Space Center, Japan",Launch Successful
2018-06-16T21:46:28Z,Soyuz 2.1b Fregat-M,"$48,500,000",8.20,3.25,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2018-06-27T03:30:05Z,Long March 2C,N/A,3.85,N/A,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2018-06-29T09:42:41Z,Falcon 9 Block 4,"$50,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
2018-06-29T20:30:00Z,MOMO v0,N/A,N/A,N/A,"Hokkaido Spaceport, Japan",Launch Failure
2018-07-09T03:56:13Z,Long March 2C/SMA,N/A,N/A,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2018-07-09T20:58:04Z,Long March 3A,N/A,N/A,2.30,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2018-07-09T21:51:34Z,Soyuz 2.1a,"$80,000,000",7.02,2.81,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2018-07-18T15:00:00Z,New Shepard,N/A,N/A,N/A,"Corn Ranch, Van Horn, TX, USA",Launch Successful
2018-07-22T05:50:00Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
2018-07-25T11:25:01Z,Ariane 5 ES,N/A,21.00,N/A,"Guiana Space Centre, French Guiana",Launch Successful
2018-07-25T11:39:30Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Vandenberg SFB, CA, USA",Launch Successful
2018-07-26T12:00:00Z,SpaceShipTwo,N/A,N/A,N/A,Air launch to Suborbital flight,Launch Successful
2018-07-29T01:48:04Z,Long March 3B/YZ-1,"$70,000,000",11.50,5.10,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2018-07-31T03:00:04Z,Long March 4B,N/A,4.20,1.50,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2018-08-07T05:18:00Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
2018-08-12T07:31:00Z,Delta IV Heavy,"$350,000,000",28.37,14.21,"Cape Canaveral SFS, FL, USA",Launch Successful
2018-08-22T21:20:09Z,Vega,"$37,000,000",1.50,N/A,"Guiana Space Centre, French Guiana",Launch Successful
2018-08-24T23:52:04Z,Long March 3B/YZ-1,"$70,000,000",11.50,5.10,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2018-08-25T18:15:00Z,SARGE,N/A,N/A,N/A,"Spaceport America, NM, USA",Launch was a Partial Failure
2018-09-07T03:15:05Z,Long March 2C,N/A,3.85,N/A,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2018-09-10T04:45:00Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
2018-09-15T13:02:00Z,Delta II 7420-10C,"$51,000,000",3.10,N/A,"Vandenberg SFB, CA, USA",Launch Successful
2018-09-16T16:38:00Z,PSLV-CA,"$16,000,000",3.80,1.20,"Satish Dhawan Space Centre, India",Launch Successful
2018-09-19T14:07:03Z,Long March 3B/YZ-1,"$70,000,000",11.50,5.10,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2018-09-22T17:52:27Z,H-IIB 304,"$112,500,000",16.50,8.00,"Tanegashima Space Center, Japan",Launch Successful
2018-09-25T22:38:00Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2018-09-29T04:13:30Z,Kuaizhou 1A,N/A,0.30,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2018-10-08T02:21:28Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Vandenberg SFB, CA, USA",Launch Successful
2018-10-09T02:43:03Z,Long March 2C/YZ-1S,N/A,3.85,1.25,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2018-10-11T08:40:15Z,Soyuz FG,N/A,6.45,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
2018-10-15T04:23:04Z,Long March 3B/YZ-1,"$70,000,000",11.50,5.10,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2018-10-17T04:15:00Z,Atlas V 551,"$153,000,000",18.85,8.89,"Cape Canaveral SFS, FL, USA",Launch Successful
2018-10-20T01:45:28Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2018-10-24T22:57:00Z,Long March 4B,N/A,4.20,1.50,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2018-10-25T00:15:18Z,Soyuz 2.1b,"$80,000,000",8.20,3.25,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2018-10-27T08:00:00Z,Zhuque-1,N/A,N/A,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Failure
2018-10-29T00:43:14Z,Long March 2C,N/A,3.85,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2018-10-29T04:08:00Z,H-IIA 202,"$90,000,000",10.00,4.10,"Tanegashima Space Center, Japan",Launch Successful
2018-11-01T15:57:11Z,Long March 3B,"$70,000,000",11.50,5.10,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2018-11-03T20:17:53Z,Soyuz 2.1b Fregat-M,"$48,500,000",8.20,3.25,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2018-11-07T00:47:27Z,Soyuz STB Fregat-MT,"$80,000,000",8.20,3.25,"Guiana Space Centre, French Guiana",Launch Successful
2018-11-11T03:50:00Z,Electron,"$6,000,000",0.30,N/A,"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",Launch Successful
2018-11-14T11:38:00Z,Launch Vehicle Mark-3 (GSLV Mk III),"$46,000,000",10.00,5.00,"Satish Dhawan Space Centre, India",Launch Successful
2018-11-15T20:46:00Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Kennedy Space Center, FL, USA",Launch Successful
2018-11-16T18:14:08Z,Soyuz FG,N/A,6.45,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2018-11-17T09:01:22Z,Antares 230,N/A,7.80,N/A,"Wallops Flight Facility, Virginia, USA",Launch Successful
2018-11-18T18:07:03Z,Long March 3B/YZ-1,"$70,000,000",11.50,5.10,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2018-11-19T23:40:04Z,Long March 2D,"$30,000,000",3.50,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2018-11-21T01:42:31Z,Vega,"$37,000,000",1.50,N/A,"Guiana Space Centre, French Guiana",Launch Successful
2018-11-28T07:00:00Z,KSLV 2 TLV,N/A,N/A,N/A,"Naro Space Center, South Korea",Launch Successful
2018-11-29T04:27:30Z,PSLV-CA,"$16,000,000",3.80,1.20,"Satish Dhawan Space Centre, India",Launch Successful
2018-11-30T02:27:34Z,Rokot/Briz-KM,N/A,1.85,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2018-12-03T11:31:52Z,Soyuz FG,N/A,6.45,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2018-12-03T18:34:05Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Vandenberg SFB, CA, USA",Launch Successful
2018-12-04T20:37:07Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2018-12-05T18:16:16Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
2018-12-07T04:12:05Z,Long March 2D,"$30,000,000",3.50,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2018-12-07T18:23:34Z,Long March 3B/E,"$70,000,000",12.00,5.50,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2018-12-13T12:00:00Z,SpaceShipTwo,N/A,N/A,N/A,Air launch to Suborbital flight,Launch Successful
2018-12-16T06:33:00Z,Electron,"$6,000,000",0.30,N/A,"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",Launch Successful
2018-12-19T10:40:00Z,GSLV Mk. II,N/A,N/A,2.50,"Satish Dhawan Space Centre, India",Launch Successful
2018-12-19T16:37:14Z,Soyuz STA Fregat,N/A,7.02,2.81,"Guiana Space Centre, French Guiana",Launch Successful
2018-12-21T00:20:00Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2018-12-21T23:51:00Z,Long March 11,N/A,0.50,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2018-12-23T13:51:00Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
2018-12-24T16:53:08Z,Long March 3C,N/A,N/A,N/A,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2018-12-27T02:07:18Z,Soyuz 2.1a Fregat-M,"$80,000,000",7.02,N/A,"Vostochny Cosmodrome, Siberia, Russian Federation",Launch Successful
2018-12-29T08:00:05Z,Long March 2D/YZ-3,N/A,N/A,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2019-01-10T17:11:04Z,Long March 3B,"$70,000,000",11.50,5.10,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2019-01-11T15:31:33Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Vandenberg SFB, CA, USA",Launch Successful
2019-01-15T00:30:00Z,Simorgh,N/A,N/A,N/A,"Semnan Space Center, Islamic Republic of Iran",Launch Failure
2019-01-18T00:50:20Z,Epsilon,"$39,000,000",N/A,N/A,"Uchinoura Space Center, Japan",Launch Successful
2019-01-19T19:10:00Z,Delta IV Heavy,"$350,000,000",28.37,14.21,"Vandenberg SFB, CA, USA",Launch Successful
2019-01-21T05:42:20Z,Long March 11,N/A,0.50,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2019-01-23T15:05:00Z,New Shepard,N/A,N/A,N/A,"Corn Ranch, Van Horn, TX, USA",Launch Successful
2019-01-24T18:07:00Z,PSLV-DL,N/A,3.80,1.20,"Satish Dhawan Space Centre, India",Launch Successful
2019-02-05T00:00:00Z,Safir 1B,N/A,N/A,N/A,"Semnan Space Center, Islamic Republic of Iran",Launch Failure
2019-02-05T21:01:07Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2019-02-21T16:47:14Z,Soyuz 2.1b Fregat-M,"$48,500,000",8.20,3.25,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2019-02-22T01:45:00Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
2019-02-22T16:57:00Z,SpaceShipTwo,N/A,N/A,N/A,Air launch to Suborbital flight,Launch Successful
2019-02-27T21:37:00Z,Soyuz STB Fregat,N/A,8.20,3.25,"Guiana Space Centre, French Guiana",Launch Successful
2019-03-02T07:49:00Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Kennedy Space Center, FL, USA",Launch Successful
2019-03-02T16:45:00Z,SARGE,N/A,N/A,N/A,"Spaceport America, NM, USA",Launch was a Partial Failure
2019-03-09T16:28:04Z,Long March 3B/E,"$70,000,000",12.00,5.50,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2019-03-14T19:14:08Z,Soyuz FG,N/A,6.45,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2019-03-16T00:26:00Z,"Delta IV M+(5,4)",N/A,13.73,6.89,"Cape Canaveral SFS, FL, USA",Launch Successful
2019-03-22T01:50:35Z,Vega,"$37,000,000",1.50,N/A,"Guiana Space Centre, French Guiana",Launch Successful
2019-03-27T09:39:00Z,OS-M1,N/A,N/A,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Failure
2019-03-28T23:27:00Z,Electron,"$6,000,000",0.30,N/A,"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",Launch Successful
2019-03-31T15:51:04Z,Long March 3B/E,"$70,000,000",12.00,5.50,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2019-04-01T03:57:00Z,PSLV-QL,N/A,1.50,N/A,"Satish Dhawan Space Centre, India",Launch Successful
2019-04-04T11:01:35Z,Soyuz 2.1a,"$80,000,000",7.02,2.81,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2019-04-04T17:03:37Z,Soyuz STB Fregat,N/A,8.20,3.25,"Guiana Space Centre, French Guiana",Launch Successful
2019-04-11T22:35:00Z,Falcon Heavy,"$90,000,000",63.80,26.70,"Kennedy Space Center, FL, USA",Launch Successful
2019-04-17T20:46:06Z,Antares 230,N/A,7.80,N/A,"Wallops Flight Facility, Virginia, USA",Launch Successful
2019-04-20T14:41:04Z,Long March 3B/E,"$70,000,000",12.00,5.50,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2019-04-29T22:52:05Z,Long March 4B,N/A,4.20,1.50,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2019-05-02T13:35:13Z,New Shepard,N/A,N/A,N/A,"Corn Ranch, Van Horn, TX, USA",Launch Successful
2019-05-04T06:48:58Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
2019-05-04T20:45:00Z,MOMO v0,N/A,N/A,N/A,"Hokkaido Spaceport, Japan",Launch Successful
2019-05-05T06:00:00Z,Electron,"$6,000,000",0.30,N/A,"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",Launch Successful
2019-05-17T15:48:05Z,Long March 3C,N/A,N/A,N/A,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2019-05-22T00:00:00Z,PSLV-CA,"$16,000,000",3.80,1.20,"Satish Dhawan Space Centre, India",Launch Successful
2019-05-22T22:49:00Z,Long March 4C,N/A,N/A,N/A,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Failure
2019-05-24T02:30:00Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
2019-05-27T06:23:00Z,Soyuz 2.1b Fregat-M,"$48,500,000",8.20,3.25,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2019-05-30T17:42:00Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2019-06-05T04:06:01Z,Long March 11,N/A,0.50,N/A,Haiyang Oriental Spaceport,Launch Successful
2019-06-12T14:17:00Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Vandenberg SFB, CA, USA",Launch Successful
2019-06-20T21:43:00Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2019-06-24T18:09:00Z,Long March 3B/E,"$70,000,000",12.00,5.50,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2019-06-25T06:30:00Z,Falcon Heavy,"$90,000,000",63.80,26.70,"Kennedy Space Center, FL, USA",Launch Successful
2019-06-29T04:30:00Z,Electron,"$6,000,000",0.30,N/A,"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",Launch Successful
2019-06-29T18:00:18Z,SARGE,N/A,N/A,N/A,"Spaceport America, NM, USA",Launch was a Partial Failure
2019-07-02T11:00:00Z,Orion Abort Test Booster,N/A,N/A,N/A,"Cape Canaveral SFS, FL, USA",Launch Successful
2019-07-05T05:41:45Z,Soyuz 2.1b Fregat,"$80,000,000",8.20,3.25,"Vostochny Cosmodrome, Siberia, Russian Federation",Launch Successful
2019-07-10T17:14:00Z,Soyuz 2.1v Volga,N/A,2.85,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2019-07-11T01:53:03Z,Vega,"$37,000,000",1.50,N/A,"Guiana Space Centre, French Guiana",Launch Failure
2019-07-13T12:30:57Z,Proton-M Blok DM-03,"$65,000,000",2.10,6.92,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2019-07-20T16:28:21Z,Soyuz FG,N/A,6.45,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2019-07-22T09:13:12Z,Launch Vehicle Mark-3 (GSLV Mk III),"$46,000,000",10.00,5.00,"Satish Dhawan Space Centre, India",Launch Successful
2019-07-25T05:00:00Z,Hyperbola-1,N/A,0.30,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2019-07-25T22:01:56Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
2019-07-26T03:45:00Z,Starship Prototype,N/A,N/A,N/A,"SpaceX Starbase, TX, USA",Launch Successful
2019-07-26T03:57:35Z,Long March 2C,N/A,3.85,N/A,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2019-07-27T07:20:00Z,MOMO v0,N/A,N/A,N/A,"Hokkaido Spaceport, Japan",Launch Failure
2019-07-30T05:57:00Z,Soyuz 2.1a Fregat-M,"$80,000,000",7.02,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2019-07-31T12:10:46Z,Soyuz 2.1a,"$80,000,000",7.02,2.81,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2019-08-05T21:56:00Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2019-08-06T19:30:07Z,Ariane 5 ECA+,N/A,N/A,10.20,"Guiana Space Centre, French Guiana",Launch Successful
2019-08-06T23:23:00Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
2019-08-08T10:13:00Z,Atlas V 551,"$153,000,000",18.85,8.89,"Cape Canaveral SFS, FL, USA",Launch Successful
2019-08-17T04:11:40Z,Smart Dragon 1,N/A,0.15,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2019-08-19T12:03:04Z,Long March 3B/E,"$70,000,000",12.00,5.50,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2019-08-19T12:12:00Z,Electron,"$6,000,000",0.30,N/A,"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",Launch Successful
2019-08-22T03:38:31Z,Soyuz 2.1a,"$80,000,000",7.02,2.81,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2019-08-22T13:06:00Z,"Delta IV M+(4,2)","$350,000,000",11.92,6.27,"Cape Canaveral SFS, FL, USA",Launch Successful
2019-08-27T22:02:00Z,Starship Prototype,N/A,N/A,N/A,"SpaceX Starbase, TX, USA",Launch Successful
2019-08-30T14:00:14Z,Rokot/Briz-KM,N/A,1.85,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2019-08-30T23:41:25Z,Kuaizhou 1A,N/A,0.30,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2019-09-12T03:26:00Z,Long March 4B,N/A,4.20,1.50,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2019-09-19T06:42:00Z,Long March 11,N/A,0.50,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2019-09-22T21:10:04Z,Long March 3B/YZ-1,"$70,000,000",11.50,5.10,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2019-09-24T16:05:05Z,H-IIB 304,"$112,500,000",16.50,8.00,"Tanegashima Space Center, Japan",Launch Successful
2019-09-25T00:54:34Z,Long March 2D,"$30,000,000",3.50,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2019-09-25T13:57:42Z,Soyuz FG,N/A,6.45,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2019-09-26T07:46:00Z,Soyuz 2.1b Fregat,"$80,000,000",8.20,3.25,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2019-10-04T18:51:05Z,Long March 4C,N/A,N/A,N/A,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2019-10-09T10:17:56Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2019-10-11T02:00:30Z,Pegasus XL,"$40,000,000",0.44,N/A,Air launch to orbit,Launch Successful
2019-10-17T01:22:00Z,Electron,"$6,000,000",0.30,N/A,"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",Launch Successful
2019-10-17T15:21:04Z,Long March 3B/E,"$70,000,000",12.00,5.50,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2019-10-26T17:40:15Z,SARGE,N/A,N/A,N/A,"Spaceport America, NM, USA",Launch Failure
2019-11-02T13:59:47Z,Antares 230+,N/A,8.20,N/A,"Wallops Flight Facility, Virginia, USA",Launch Successful
2019-11-03T03:22:00Z,Long March 4B,N/A,4.20,1.50,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2019-11-04T17:43:04Z,Long March 3B/E,"$70,000,000",12.00,5.50,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2019-11-11T14:56:00Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
2019-11-13T03:40:00Z,Kuaizhou 1A,N/A,0.30,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2019-11-13T06:35:00Z,Long March 6,N/A,N/A,N/A,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2019-11-17T10:00:02Z,Kuaizhou 1A,N/A,0.30,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2019-11-23T00:55:54Z,Long March 3B/YZ-1,"$70,000,000",11.50,5.10,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2019-11-25T17:52:03Z,Soyuz 2.1v Volga,N/A,2.85,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2019-11-26T21:23:00Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2019-11-27T03:58:00Z,PSLV XL,N/A,N/A,N/A,"Satish Dhawan Space Centre, India",Launch Successful
2019-11-27T23:52:00Z,Long March 4C,N/A,N/A,N/A,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2019-12-05T17:29:24Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
2019-12-06T08:18:00Z,Electron,"$6,000,000",0.30,N/A,"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand",Launch Successful
2019-12-06T09:34:11Z,Soyuz 2.1a,"$80,000,000",7.02,2.81,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2019-12-07T02:55:46Z,Kuaizhou 1A,N/A,0.30,N/A,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2019-12-07T08:52:00Z,Kuaizhou 1A,N/A,0.30,N/A,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2019-12-11T08:54:48Z,Soyuz 2.1b Fregat-M,"$48,500,000",8.20,3.25,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2019-12-11T09:55:00Z,PSLV-QL,N/A,1.50,N/A,"Satish Dhawan Space Centre, India",Launch Successful
2019-12-11T17:55:10Z,New Shepard,N/A,N/A,N/A,"Corn Ranch, Van Horn, TX, USA",Launch Successful
2019-12-16T07:22:00Z,Long March 3B/YZ-1,"$70,000,000",11.50,5.10,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2019-12-17T00:10:00Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
2019-12-18T08:54:20Z,Soyuz STB Fregat,N/A,8.20,3.25,"Guiana Space Centre, French Guiana",Launch Successful
2019-12-20T03:22:29Z,Long March 4B,N/A,4.20,1.50,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2019-12-20T11:36:43Z,Atlas V N22,"$110,000,000",13.03,N/A,"Cape Canaveral SFS, FL, USA",Launch Successful
2019-12-24T12:03:02Z,Proton-M Blok DM-03,"$65,000,000",2.10,6.92,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2019-12-26T23:11:57Z,Rokot/Briz-KM,N/A,1.85,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2019-12-27T12:45:10Z,Long March 5,N/A,25.00,14.00,"Wenchang Space Launch Site, People's Republic of China",Launch Successful
2020-01-07T02:19:21Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
2020-01-07T15:20:00Z,Long March 3B,"$70,000,000",11.50,5.10,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2020-01-15T02:53:04Z,Long March 2D,"$30,000,000",3.50,N/A,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2020-01-16T03:02:00Z,Kuaizhou 1A,N/A,0.30,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2020-01-16T21:05:00Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2020-01-19T15:30:00Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Kennedy Space Center, FL, USA",Launch Successful
2020-01-29T14:06:00Z,Falcon 9 Block 5,"$52,000,000",22.80,8.30,"Cape Canaveral SFS, FL, USA",Launch Successful
